text,ade,term_PT
"extreme lower back pain, pain in neck and shoulders, calf cramping, red bumps on my skin. muscle fatigue. i only took this drug for 4 months. i have inherited my high cholesterol. my career involves great physical activity. i thought i had just overexerted myself and was over stressed. i had no idea a medication could cause so much economic and physical damage. i am still in the process of recovering from both.",extreme lower back pain,back pain
"extreme lower back pain, pain in neck and shoulders, calf cramping, red bumps on my skin. muscle fatigue. i only took this drug for 4 months. i have inherited my high cholesterol. my career involves great physical activity. i thought i had just overexerted myself and was over stressed. i had no idea a medication could cause so much economic and physical damage. i am still in the process of recovering from both.",pain in neck and shoulders,neck pain
"extreme lower back pain, pain in neck and shoulders, calf cramping, red bumps on my skin. muscle fatigue. i only took this drug for 4 months. i have inherited my high cholesterol. my career involves great physical activity. i thought i had just overexerted myself and was over stressed. i had no idea a medication could cause so much economic and physical damage. i am still in the process of recovering from both.",pain in neck and shoulders,arthralgia
daily headaches. reduced cholesterol count from 295 to 182 in one month.,headaches,headache
"had a scary experience that i am associating with voltaren. not completely convinced it was the rx but i have no other reason for the reaction. first dosage i was hit with extreme abdominal issues including diarrhea. figured it was a lack of adequate food on board when i took the 1st dose so increased my meal before i took the 2nd dose. problem solved! was on the meds for 7 days when i experienced chest discomfort and upper abdominal pressure. with a medical background, i know that cardiac symptoms are mistaken for gastric reasons so i went to the er. long story short, i was diagnosed with severe gastric distress (gerd) and with a ""gastric cocktail"" and a high octane prilosec, i had some serious relief and sent home. not convinced it was the issue, i went a day without the rx and then started again. i wasn't entirely 100% after taking the dose and now, i am fairly certain it was the voltaren. i must say that my symptoms did improve within 3 days but the er visit was.",chest discomfort,chest discomfort
"had a scary experience that i am associating with voltaren. not completely convinced it was the rx but i have no other reason for the reaction. first dosage i was hit with extreme abdominal issues including diarrhea. figured it was a lack of adequate food on board when i took the 1st dose so increased my meal before i took the 2nd dose. problem solved! was on the meds for 7 days when i experienced chest discomfort and upper abdominal pressure. with a medical background, i know that cardiac symptoms are mistaken for gastric reasons so i went to the er. long story short, i was diagnosed with severe gastric distress (gerd) and with a ""gastric cocktail"" and a high octane prilosec, i had some serious relief and sent home. not convinced it was the issue, i went a day without the rx and then started again. i wasn't entirely 100% after taking the dose and now, i am fairly certain it was the voltaren. i must say that my symptoms did improve within 3 days but the er visit was.",abdominal pressure,abdominal discomfort
"had a scary experience that i am associating with voltaren. not completely convinced it was the rx but i have no other reason for the reaction. first dosage i was hit with extreme abdominal issues including diarrhea. figured it was a lack of adequate food on board when i took the 1st dose so increased my meal before i took the 2nd dose. problem solved! was on the meds for 7 days when i experienced chest discomfort and upper abdominal pressure. with a medical background, i know that cardiac symptoms are mistaken for gastric reasons so i went to the er. long story short, i was diagnosed with severe gastric distress (gerd) and with a ""gastric cocktail"" and a high octane prilosec, i had some serious relief and sent home. not convinced it was the issue, i went a day without the rx and then started again. i wasn't entirely 100% after taking the dose and now, i am fairly certain it was the voltaren. i must say that my symptoms did improve within 3 days but the er visit was.",extreme abdominal issues,abdominal symptom
"had a scary experience that i am associating with voltaren. not completely convinced it was the rx but i have no other reason for the reaction. first dosage i was hit with extreme abdominal issues including diarrhea. figured it was a lack of adequate food on board when i took the 1st dose so increased my meal before i took the 2nd dose. problem solved! was on the meds for 7 days when i experienced chest discomfort and upper abdominal pressure. with a medical background, i know that cardiac symptoms are mistaken for gastric reasons so i went to the er. long story short, i was diagnosed with severe gastric distress (gerd) and with a ""gastric cocktail"" and a high octane prilosec, i had some serious relief and sent home. not convinced it was the issue, i went a day without the rx and then started again. i wasn't entirely 100% after taking the dose and now, i am fairly certain it was the voltaren. i must say that my symptoms did improve within 3 days but the er visit was.",diarrhea,diarrhoea
"severe numbness in hand such that it wakes me out of my sleep. tingling in feet, soreness in calf muscles. occassional sharp shock like pain in head. i have taken myself off because i can't stand the side-effects. never really had high cholesterol but current medical thinking is that lipitor may reverse coronary disease. i would rather just walk more. upon reading all of the reviews how long can it be before there is a significant class action lawsuit to stop this drug from being prescribed.",soreness in calf muscles,myalgia
"severe numbness in hand such that it wakes me out of my sleep. tingling in feet, soreness in calf muscles. occassional sharp shock like pain in head. i have taken myself off because i can't stand the side-effects. never really had high cholesterol but current medical thinking is that lipitor may reverse coronary disease. i would rather just walk more. upon reading all of the reviews how long can it be before there is a significant class action lawsuit to stop this drug from being prescribed.",severe numbness in hand,hypoaesthesia
"severe numbness in hand such that it wakes me out of my sleep. tingling in feet, soreness in calf muscles. occassional sharp shock like pain in head. i have taken myself off because i can't stand the side-effects. never really had high cholesterol but current medical thinking is that lipitor may reverse coronary disease. i would rather just walk more. upon reading all of the reviews how long can it be before there is a significant class action lawsuit to stop this drug from being prescribed.",sharp shock like pain in head,headache
"severe numbness in hand such that it wakes me out of my sleep. tingling in feet, soreness in calf muscles. occassional sharp shock like pain in head. i have taken myself off because i can't stand the side-effects. never really had high cholesterol but current medical thinking is that lipitor may reverse coronary disease. i would rather just walk more. upon reading all of the reviews how long can it be before there is a significant class action lawsuit to stop this drug from being prescribed.",tingling in feet,paraesthesia
"severe numbness in hand such that it wakes me out of my sleep. tingling in feet, soreness in calf muscles. occassional sharp shock like pain in head. i have taken myself off because i can't stand the side-effects. never really had high cholesterol but current medical thinking is that lipitor may reverse coronary disease. i would rather just walk more. upon reading all of the reviews how long can it be before there is a significant class action lawsuit to stop this drug from being prescribed.",sharp shock like pain in head,pain
"insomnia, vivid nightmares when i did sleep, muscle pain, weakness, tired all the time, depression to the point of considering suicide. statins are damaging to so many body processes. the clinical trials for fda approval weren't nearly long enough to observe all the adverse effects. we're in the real clinical trials now, while lining the pockets of the pharmaceutical companies. i take grape juice and cider vinegar now - it reduces cholesterol and blood pressure with no side effects.",tired all the time,fatigue
"insomnia, vivid nightmares when i did sleep, muscle pain, weakness, tired all the time, depression to the point of considering suicide. statins are damaging to so many body processes. the clinical trials for fda approval weren't nearly long enough to observe all the adverse effects. we're in the real clinical trials now, while lining the pockets of the pharmaceutical companies. i take grape juice and cider vinegar now - it reduces cholesterol and blood pressure with no side effects.",weakness,asthenia
"insomnia, vivid nightmares when i did sleep, muscle pain, weakness, tired all the time, depression to the point of considering suicide. statins are damaging to so many body processes. the clinical trials for fda approval weren't nearly long enough to observe all the adverse effects. we're in the real clinical trials now, while lining the pockets of the pharmaceutical companies. i take grape juice and cider vinegar now - it reduces cholesterol and blood pressure with no side effects.",muscle pain,myalgia
"insomnia, vivid nightmares when i did sleep, muscle pain, weakness, tired all the time, depression to the point of considering suicide. statins are damaging to so many body processes. the clinical trials for fda approval weren't nearly long enough to observe all the adverse effects. we're in the real clinical trials now, while lining the pockets of the pharmaceutical companies. i take grape juice and cider vinegar now - it reduces cholesterol and blood pressure with no side effects.",vivid nightmares,nightmare
"insomnia, vivid nightmares when i did sleep, muscle pain, weakness, tired all the time, depression to the point of considering suicide. statins are damaging to so many body processes. the clinical trials for fda approval weren't nearly long enough to observe all the adverse effects. we're in the real clinical trials now, while lining the pockets of the pharmaceutical companies. i take grape juice and cider vinegar now - it reduces cholesterol and blood pressure with no side effects.",insomnia,insomnia
"insomnia, vivid nightmares when i did sleep, muscle pain, weakness, tired all the time, depression to the point of considering suicide. statins are damaging to so many body processes. the clinical trials for fda approval weren't nearly long enough to observe all the adverse effects. we're in the real clinical trials now, while lining the pockets of the pharmaceutical companies. i take grape juice and cider vinegar now - it reduces cholesterol and blood pressure with no side effects.",depression,depression
always feeling tired. high priced.,always feeling tired,fatigue
"stabbing pain between shoulder blades, i am 52 and feel 82, no energy, muscle tone depletion, strength depletion, numbness in upper legs from knee to thigh, pain and numbness in left foot, left foot larger than right now by one size, pain in feet, need special shoes just to walk now, i feel like i will not be alive next year. i've been on this for 5 years, and am going to quit after finding this website. doctors did nothing for me. they have no idea what this drug does to people! time to exercise, eat healthy food, and get off this stuff. thank you everyone for taking the time to post, and helping me understand what was happening. hate this stuff. crestor just as bad.",numbness in upper legs from knee to thigh,hypoaesthesia
"stabbing pain between shoulder blades, i am 52 and feel 82, no energy, muscle tone depletion, strength depletion, numbness in upper legs from knee to thigh, pain and numbness in left foot, left foot larger than right now by one size, pain in feet, need special shoes just to walk now, i feel like i will not be alive next year. i've been on this for 5 years, and am going to quit after finding this website. doctors did nothing for me. they have no idea what this drug does to people! time to exercise, eat healthy food, and get off this stuff. thank you everyone for taking the time to post, and helping me understand what was happening. hate this stuff. crestor just as bad.",muscle tone depletion,hypotonia
"stabbing pain between shoulder blades, i am 52 and feel 82, no energy, muscle tone depletion, strength depletion, numbness in upper legs from knee to thigh, pain and numbness in left foot, left foot larger than right now by one size, pain in feet, need special shoes just to walk now, i feel like i will not be alive next year. i've been on this for 5 years, and am going to quit after finding this website. doctors did nothing for me. they have no idea what this drug does to people! time to exercise, eat healthy food, and get off this stuff. thank you everyone for taking the time to post, and helping me understand what was happening. hate this stuff. crestor just as bad.",stabbing pain between shoulder blades,chest pain
"stabbing pain between shoulder blades, i am 52 and feel 82, no energy, muscle tone depletion, strength depletion, numbness in upper legs from knee to thigh, pain and numbness in left foot, left foot larger than right now by one size, pain in feet, need special shoes just to walk now, i feel like i will not be alive next year. i've been on this for 5 years, and am going to quit after finding this website. doctors did nothing for me. they have no idea what this drug does to people! time to exercise, eat healthy food, and get off this stuff. thank you everyone for taking the time to post, and helping me understand what was happening. hate this stuff. crestor just as bad.",numbness in left foot,hypoaesthesia
"stabbing pain between shoulder blades, i am 52 and feel 82, no energy, muscle tone depletion, strength depletion, numbness in upper legs from knee to thigh, pain and numbness in left foot, left foot larger than right now by one size, pain in feet, need special shoes just to walk now, i feel like i will not be alive next year. i've been on this for 5 years, and am going to quit after finding this website. doctors did nothing for me. they have no idea what this drug does to people! time to exercise, eat healthy food, and get off this stuff. thank you everyone for taking the time to post, and helping me understand what was happening. hate this stuff. crestor just as bad.",strength depletion,muscular weakness
"stabbing pain between shoulder blades, i am 52 and feel 82, no energy, muscle tone depletion, strength depletion, numbness in upper legs from knee to thigh, pain and numbness in left foot, left foot larger than right now by one size, pain in feet, need special shoes just to walk now, i feel like i will not be alive next year. i've been on this for 5 years, and am going to quit after finding this website. doctors did nothing for me. they have no idea what this drug does to people! time to exercise, eat healthy food, and get off this stuff. thank you everyone for taking the time to post, and helping me understand what was happening. hate this stuff. crestor just as bad.",no energy,asthenia
"stabbing pain between shoulder blades, i am 52 and feel 82, no energy, muscle tone depletion, strength depletion, numbness in upper legs from knee to thigh, pain and numbness in left foot, left foot larger than right now by one size, pain in feet, need special shoes just to walk now, i feel like i will not be alive next year. i've been on this for 5 years, and am going to quit after finding this website. doctors did nothing for me. they have no idea what this drug does to people! time to exercise, eat healthy food, and get off this stuff. thank you everyone for taking the time to post, and helping me understand what was happening. hate this stuff. crestor just as bad.",pain in feet,pain in extremity
"stabbing pain between shoulder blades, i am 52 and feel 82, no energy, muscle tone depletion, strength depletion, numbness in upper legs from knee to thigh, pain and numbness in left foot, left foot larger than right now by one size, pain in feet, need special shoes just to walk now, i feel like i will not be alive next year. i've been on this for 5 years, and am going to quit after finding this website. doctors did nothing for me. they have no idea what this drug does to people! time to exercise, eat healthy food, and get off this stuff. thank you everyone for taking the time to post, and helping me understand what was happening. hate this stuff. crestor just as bad.",pain in left foot,pain in extremity
"stabbing pain between shoulder blades, i am 52 and feel 82, no energy, muscle tone depletion, strength depletion, numbness in upper legs from knee to thigh, pain and numbness in left foot, left foot larger than right now by one size, pain in feet, need special shoes just to walk now, i feel like i will not be alive next year. i've been on this for 5 years, and am going to quit after finding this website. doctors did nothing for me. they have no idea what this drug does to people! time to exercise, eat healthy food, and get off this stuff. thank you everyone for taking the time to post, and helping me understand what was happening. hate this stuff. crestor just as bad.",stabbing pain between shoulder blades,pain
tingling all over my body and numbness.,numbness,hypoaesthesia
tingling all over my body and numbness.,tingling,paraesthesia
"having been on lipitor for over one year, with a modest reduction in cholesterol levels, i developed a severe reaction following shoulder surgery. approximately 4 months following my surgery, i developed an abrupt and chronic pain in my arms, hands and the back of my upper legs (from buttocks to knees). after two mri's and emg and blood and urine analyisis reviewed by a neurologist with negative and/or normal results, i self-diagnosed having read numerous patient complaints mirroring my symptoms and reading a cautionary warning to physicians to consider taking their patients off lipitor when the patient was scheduled for major surgery (www.drug.com). my neurologist has prescribed prednisone 10mg to help with the symptoms. i am trying to limit my use of the predisone but cannot take care of basic functions without a minimum of 10mg daily. as a ceo of a large sales company and a physcially active person, i'm extremely concerned about this chronic condition. i have been off lipitor f.",pain in my arms,pain in extremity
"having been on lipitor for over one year, with a modest reduction in cholesterol levels, i developed a severe reaction following shoulder surgery. approximately 4 months following my surgery, i developed an abrupt and chronic pain in my arms, hands and the back of my upper legs (from buttocks to knees). after two mri's and emg and blood and urine analyisis reviewed by a neurologist with negative and/or normal results, i self-diagnosed having read numerous patient complaints mirroring my symptoms and reading a cautionary warning to physicians to consider taking their patients off lipitor when the patient was scheduled for major surgery (www.drug.com). my neurologist has prescribed prednisone 10mg to help with the symptoms. i am trying to limit my use of the predisone but cannot take care of basic functions without a minimum of 10mg daily. as a ceo of a large sales company and a physcially active person, i'm extremely concerned about this chronic condition. i have been off lipitor f.",pain in hands,pain in extremity
"having been on lipitor for over one year, with a modest reduction in cholesterol levels, i developed a severe reaction following shoulder surgery. approximately 4 months following my surgery, i developed an abrupt and chronic pain in my arms, hands and the back of my upper legs (from buttocks to knees). after two mri's and emg and blood and urine analyisis reviewed by a neurologist with negative and/or normal results, i self-diagnosed having read numerous patient complaints mirroring my symptoms and reading a cautionary warning to physicians to consider taking their patients off lipitor when the patient was scheduled for major surgery (www.drug.com). my neurologist has prescribed prednisone 10mg to help with the symptoms. i am trying to limit my use of the predisone but cannot take care of basic functions without a minimum of 10mg daily. as a ceo of a large sales company and a physcially active person, i'm extremely concerned about this chronic condition. i have been off lipitor f.",pain in back,back pain
"having been on lipitor for over one year, with a modest reduction in cholesterol levels, i developed a severe reaction following shoulder surgery. approximately 4 months following my surgery, i developed an abrupt and chronic pain in my arms, hands and the back of my upper legs (from buttocks to knees). after two mri's and emg and blood and urine analyisis reviewed by a neurologist with negative and/or normal results, i self-diagnosed having read numerous patient complaints mirroring my symptoms and reading a cautionary warning to physicians to consider taking their patients off lipitor when the patient was scheduled for major surgery (www.drug.com). my neurologist has prescribed prednisone 10mg to help with the symptoms. i am trying to limit my use of the predisone but cannot take care of basic functions without a minimum of 10mg daily. as a ceo of a large sales company and a physcially active person, i'm extremely concerned about this chronic condition. i have been off lipitor f.",pain in upper legs,pain in extremity
"excruciating pain in shoulders and neck, memory loss, felt just strange. started taking lipitor 20 mg 4 years ago, dr upped it to 40 mg 5 months ago. took me all this time and this rating board to figure out what was really wrong with me. dr kept telling me i was depressed. who wouldn't be with this hideous constant pain? took myself off of the lipitor 7 days ago and feeling much better. when i went to dr with this he said.",excruciating pain in neck,pain
"excruciating pain in shoulders and neck, memory loss, felt just strange. started taking lipitor 20 mg 4 years ago, dr upped it to 40 mg 5 months ago. took me all this time and this rating board to figure out what was really wrong with me. dr kept telling me i was depressed. who wouldn't be with this hideous constant pain? took myself off of the lipitor 7 days ago and feeling much better. when i went to dr with this he said.",excruciating pain in neck,neck pain
"excruciating pain in shoulders and neck, memory loss, felt just strange. started taking lipitor 20 mg 4 years ago, dr upped it to 40 mg 5 months ago. took me all this time and this rating board to figure out what was really wrong with me. dr kept telling me i was depressed. who wouldn't be with this hideous constant pain? took myself off of the lipitor 7 days ago and feeling much better. when i went to dr with this he said.",felt just strange,malaise
"excruciating pain in shoulders and neck, memory loss, felt just strange. started taking lipitor 20 mg 4 years ago, dr upped it to 40 mg 5 months ago. took me all this time and this rating board to figure out what was really wrong with me. dr kept telling me i was depressed. who wouldn't be with this hideous constant pain? took myself off of the lipitor 7 days ago and feeling much better. when i went to dr with this he said.",hideous constant pain,pain
"excruciating pain in shoulders and neck, memory loss, felt just strange. started taking lipitor 20 mg 4 years ago, dr upped it to 40 mg 5 months ago. took me all this time and this rating board to figure out what was really wrong with me. dr kept telling me i was depressed. who wouldn't be with this hideous constant pain? took myself off of the lipitor 7 days ago and feeling much better. when i went to dr with this he said.",excruciating pain in shoulders,arthralgia
"excruciating pain in shoulders and neck, memory loss, felt just strange. started taking lipitor 20 mg 4 years ago, dr upped it to 40 mg 5 months ago. took me all this time and this rating board to figure out what was really wrong with me. dr kept telling me i was depressed. who wouldn't be with this hideous constant pain? took myself off of the lipitor 7 days ago and feeling much better. when i went to dr with this he said.",excruciating pain in shoulders,pain
"excruciating pain in shoulders and neck, memory loss, felt just strange. started taking lipitor 20 mg 4 years ago, dr upped it to 40 mg 5 months ago. took me all this time and this rating board to figure out what was really wrong with me. dr kept telling me i was depressed. who wouldn't be with this hideous constant pain? took myself off of the lipitor 7 days ago and feeling much better. when i went to dr with this he said.",memory loss,amnesia
"muscle spasms, body aches, itching.",muscle spasms,muscle spasms
"muscle spasms, body aches, itching.",body aches,pain
"muscle spasms, body aches, itching.",itching,pruritus
"pain in my legs,loss of sense of smell,increase appetite,headaches,extreme fatigued,tingling in my arms and legs.",tingling in my arms,paraesthesia
"pain in my legs,loss of sense of smell,increase appetite,headaches,extreme fatigued,tingling in my arms and legs.",tingling in my legs,paraesthesia
"pain in my legs,loss of sense of smell,increase appetite,headaches,extreme fatigued,tingling in my arms and legs.",loss of sense of smell,hyposmia
"pain in my legs,loss of sense of smell,increase appetite,headaches,extreme fatigued,tingling in my arms and legs.",extreme fatigued,asthenia
"pain in my legs,loss of sense of smell,increase appetite,headaches,extreme fatigued,tingling in my arms and legs.",pain in my legs,pain in extremity
"pain in my legs,loss of sense of smell,increase appetite,headaches,extreme fatigued,tingling in my arms and legs.",headaches,headache
"pain in my legs,loss of sense of smell,increase appetite,headaches,extreme fatigued,tingling in my arms and legs.",increase appetite,increased appetite
"lower gut pain, diahrrea. this is the only nsaid i've ever taken that gave me discernable relief within 90 minutes of taking it. gastrointestinal problems were due largely to my taking the drug too close together, or after having consumed large amounts of alcohol.",gastrointestinal problems,flatulence
"lower gut pain, diahrrea. this is the only nsaid i've ever taken that gave me discernable relief within 90 minutes of taking it. gastrointestinal problems were due largely to my taking the drug too close together, or after having consumed large amounts of alcohol.",diahrrea,diarrhoea
"lower gut pain, diahrrea. this is the only nsaid i've ever taken that gave me discernable relief within 90 minutes of taking it. gastrointestinal problems were due largely to my taking the drug too close together, or after having consumed large amounts of alcohol.",lower gut pain,abdominal pain lower
"this medicine helped with the heel spurs, however the side effects were far worse and not worth taking the medicine. i had bad gas and severe diarrhea along with stomach cramps and nausea.",stomach cramps,learning disorder
"this medicine helped with the heel spurs, however the side effects were far worse and not worth taking the medicine. i had bad gas and severe diarrhea along with stomach cramps and nausea.",nausea,nausea
"this medicine helped with the heel spurs, however the side effects were far worse and not worth taking the medicine. i had bad gas and severe diarrhea along with stomach cramps and nausea.",bad gas,flatulence
"this medicine helped with the heel spurs, however the side effects were far worse and not worth taking the medicine. i had bad gas and severe diarrhea along with stomach cramps and nausea.",severe diarrhea,diarrhoea
"legs feel leaden, initially, lower back pain (but i've had that before), cramps in thighs, achy legs, lack of energy. more problems with my sinuses. woke up with severe vertigo, but it may be due to a cold virus. however, i've never had it before with a cold. severe gas, and intestinal distention. constipation. i take other medications. some for high blood pressure, and thyroid medication. however, i didn't have side effects from any of those medications. when i started lipitor, immediately had lower back pain, then pain in my thighs (muscle cramping). it doesn't seem to matter what foods i eat, i always get distention and gas while on this drug. this is an unpleasant (for everyone near me) side effect. since my dr is out of town, and i've only been on the medication for 6 weeks (10mg), i'm stopping it until i get in to see her. i've also had very different cholesterol readings over the years, and am skeptical that any given time you go in for a blood test, it could be very different. it's just that my last one was high (275!) but sometimes it's 170. and it's also been borderline for many years, around 200. (with the good cholesterol very good). i think it's higher these days, because i've been in menopause longer. but i wonder if side effects to any drug aren't a message that.",achy legs,pain in extremity
"legs feel leaden, initially, lower back pain (but i've had that before), cramps in thighs, achy legs, lack of energy. more problems with my sinuses. woke up with severe vertigo, but it may be due to a cold virus. however, i've never had it before with a cold. severe gas, and intestinal distention. constipation. i take other medications. some for high blood pressure, and thyroid medication. however, i didn't have side effects from any of those medications. when i started lipitor, immediately had lower back pain, then pain in my thighs (muscle cramping). it doesn't seem to matter what foods i eat, i always get distention and gas while on this drug. this is an unpleasant (for everyone near me) side effect. since my dr is out of town, and i've only been on the medication for 6 weeks (10mg), i'm stopping it until i get in to see her. i've also had very different cholesterol readings over the years, and am skeptical that any given time you go in for a blood test, it could be very different. it's just that my last one was high (275!) but sometimes it's 170. and it's also been borderline for many years, around 200. (with the good cholesterol very good). i think it's higher these days, because i've been in menopause longer. but i wonder if side effects to any drug aren't a message that.",intestinal distention,abdominal distension
"legs feel leaden, initially, lower back pain (but i've had that before), cramps in thighs, achy legs, lack of energy. more problems with my sinuses. woke up with severe vertigo, but it may be due to a cold virus. however, i've never had it before with a cold. severe gas, and intestinal distention. constipation. i take other medications. some for high blood pressure, and thyroid medication. however, i didn't have side effects from any of those medications. when i started lipitor, immediately had lower back pain, then pain in my thighs (muscle cramping). it doesn't seem to matter what foods i eat, i always get distention and gas while on this drug. this is an unpleasant (for everyone near me) side effect. since my dr is out of town, and i've only been on the medication for 6 weeks (10mg), i'm stopping it until i get in to see her. i've also had very different cholesterol readings over the years, and am skeptical that any given time you go in for a blood test, it could be very different. it's just that my last one was high (275!) but sometimes it's 170. and it's also been borderline for many years, around 200. (with the good cholesterol very good). i think it's higher these days, because i've been in menopause longer. but i wonder if side effects to any drug aren't a message that.",severe vertigo,vertigo
"legs feel leaden, initially, lower back pain (but i've had that before), cramps in thighs, achy legs, lack of energy. more problems with my sinuses. woke up with severe vertigo, but it may be due to a cold virus. however, i've never had it before with a cold. severe gas, and intestinal distention. constipation. i take other medications. some for high blood pressure, and thyroid medication. however, i didn't have side effects from any of those medications. when i started lipitor, immediately had lower back pain, then pain in my thighs (muscle cramping). it doesn't seem to matter what foods i eat, i always get distention and gas while on this drug. this is an unpleasant (for everyone near me) side effect. since my dr is out of town, and i've only been on the medication for 6 weeks (10mg), i'm stopping it until i get in to see her. i've also had very different cholesterol readings over the years, and am skeptical that any given time you go in for a blood test, it could be very different. it's just that my last one was high (275!) but sometimes it's 170. and it's also been borderline for many years, around 200. (with the good cholesterol very good). i think it's higher these days, because i've been in menopause longer. but i wonder if side effects to any drug aren't a message that.",cramps in thighs,muscle spasms
"legs feel leaden, initially, lower back pain (but i've had that before), cramps in thighs, achy legs, lack of energy. more problems with my sinuses. woke up with severe vertigo, but it may be due to a cold virus. however, i've never had it before with a cold. severe gas, and intestinal distention. constipation. i take other medications. some for high blood pressure, and thyroid medication. however, i didn't have side effects from any of those medications. when i started lipitor, immediately had lower back pain, then pain in my thighs (muscle cramping). it doesn't seem to matter what foods i eat, i always get distention and gas while on this drug. this is an unpleasant (for everyone near me) side effect. since my dr is out of town, and i've only been on the medication for 6 weeks (10mg), i'm stopping it until i get in to see her. i've also had very different cholesterol readings over the years, and am skeptical that any given time you go in for a blood test, it could be very different. it's just that my last one was high (275!) but sometimes it's 170. and it's also been borderline for many years, around 200. (with the good cholesterol very good). i think it's higher these days, because i've been in menopause longer. but i wonder if side effects to any drug aren't a message that.",legs feel leaden,discomfort
"legs feel leaden, initially, lower back pain (but i've had that before), cramps in thighs, achy legs, lack of energy. more problems with my sinuses. woke up with severe vertigo, but it may be due to a cold virus. however, i've never had it before with a cold. severe gas, and intestinal distention. constipation. i take other medications. some for high blood pressure, and thyroid medication. however, i didn't have side effects from any of those medications. when i started lipitor, immediately had lower back pain, then pain in my thighs (muscle cramping). it doesn't seem to matter what foods i eat, i always get distention and gas while on this drug. this is an unpleasant (for everyone near me) side effect. since my dr is out of town, and i've only been on the medication for 6 weeks (10mg), i'm stopping it until i get in to see her. i've also had very different cholesterol readings over the years, and am skeptical that any given time you go in for a blood test, it could be very different. it's just that my last one was high (275!) but sometimes it's 170. and it's also been borderline for many years, around 200. (with the good cholesterol very good). i think it's higher these days, because i've been in menopause longer. but i wonder if side effects to any drug aren't a message that.",constipation,constipation
"legs feel leaden, initially, lower back pain (but i've had that before), cramps in thighs, achy legs, lack of energy. more problems with my sinuses. woke up with severe vertigo, but it may be due to a cold virus. however, i've never had it before with a cold. severe gas, and intestinal distention. constipation. i take other medications. some for high blood pressure, and thyroid medication. however, i didn't have side effects from any of those medications. when i started lipitor, immediately had lower back pain, then pain in my thighs (muscle cramping). it doesn't seem to matter what foods i eat, i always get distention and gas while on this drug. this is an unpleasant (for everyone near me) side effect. since my dr is out of town, and i've only been on the medication for 6 weeks (10mg), i'm stopping it until i get in to see her. i've also had very different cholesterol readings over the years, and am skeptical that any given time you go in for a blood test, it could be very different. it's just that my last one was high (275!) but sometimes it's 170. and it's also been borderline for many years, around 200. (with the good cholesterol very good). i think it's higher these days, because i've been in menopause longer. but i wonder if side effects to any drug aren't a message that.",gas,flatulence
"legs feel leaden, initially, lower back pain (but i've had that before), cramps in thighs, achy legs, lack of energy. more problems with my sinuses. woke up with severe vertigo, but it may be due to a cold virus. however, i've never had it before with a cold. severe gas, and intestinal distention. constipation. i take other medications. some for high blood pressure, and thyroid medication. however, i didn't have side effects from any of those medications. when i started lipitor, immediately had lower back pain, then pain in my thighs (muscle cramping). it doesn't seem to matter what foods i eat, i always get distention and gas while on this drug. this is an unpleasant (for everyone near me) side effect. since my dr is out of town, and i've only been on the medication for 6 weeks (10mg), i'm stopping it until i get in to see her. i've also had very different cholesterol readings over the years, and am skeptical that any given time you go in for a blood test, it could be very different. it's just that my last one was high (275!) but sometimes it's 170. and it's also been borderline for many years, around 200. (with the good cholesterol very good). i think it's higher these days, because i've been in menopause longer. but i wonder if side effects to any drug aren't a message that.",lack of energy,asthenia
"legs feel leaden, initially, lower back pain (but i've had that before), cramps in thighs, achy legs, lack of energy. more problems with my sinuses. woke up with severe vertigo, but it may be due to a cold virus. however, i've never had it before with a cold. severe gas, and intestinal distention. constipation. i take other medications. some for high blood pressure, and thyroid medication. however, i didn't have side effects from any of those medications. when i started lipitor, immediately had lower back pain, then pain in my thighs (muscle cramping). it doesn't seem to matter what foods i eat, i always get distention and gas while on this drug. this is an unpleasant (for everyone near me) side effect. since my dr is out of town, and i've only been on the medication for 6 weeks (10mg), i'm stopping it until i get in to see her. i've also had very different cholesterol readings over the years, and am skeptical that any given time you go in for a blood test, it could be very different. it's just that my last one was high (275!) but sometimes it's 170. and it's also been borderline for many years, around 200. (with the good cholesterol very good). i think it's higher these days, because i've been in menopause longer. but i wonder if side effects to any drug aren't a message that.",severe gas,flatulence
"legs feel leaden, initially, lower back pain (but i've had that before), cramps in thighs, achy legs, lack of energy. more problems with my sinuses. woke up with severe vertigo, but it may be due to a cold virus. however, i've never had it before with a cold. severe gas, and intestinal distention. constipation. i take other medications. some for high blood pressure, and thyroid medication. however, i didn't have side effects from any of those medications. when i started lipitor, immediately had lower back pain, then pain in my thighs (muscle cramping). it doesn't seem to matter what foods i eat, i always get distention and gas while on this drug. this is an unpleasant (for everyone near me) side effect. since my dr is out of town, and i've only been on the medication for 6 weeks (10mg), i'm stopping it until i get in to see her. i've also had very different cholesterol readings over the years, and am skeptical that any given time you go in for a blood test, it could be very different. it's just that my last one was high (275!) but sometimes it's 170. and it's also been borderline for many years, around 200. (with the good cholesterol very good). i think it's higher these days, because i've been in menopause longer. but i wonder if side effects to any drug aren't a message that.",pain in my thighs (muscle cramping),myalgia
